,URL,DB_name,Updated_date,Extracted_URLs
10,https://dbdb.io/db/actordb,ActorDB,"Dec. 10, 2019, 5:26 p.m.","['N/A', 'N/A', '/browse?checkpoints=not-supported', '/browse?compression=naive-page-level', '/browse?concurrency-control=multi-version-concurrency-control-mvcc', '/browse?data-model=relational', '/browse?foreign-keys=supported', '/browse?indexes=btree', '/browse?isolation-levels=serializable', '/browse?joins=nested-loop-join', '/browse?logging=physical-logging', '/browse?query-execution=tuple-at-a-time-model', '/browse?query-interface=custom-api', '/browse?storage-architecture=in-memory', '/browse?storage-model=custom', '/browse?storage-organization=copy-on-write-shadow-paging', '/browse?system-architecture=shared-nothing', '/browse?views=not-supported', 'http://www.actordb.com/', 'https://github.com/biokoda/actordb', 'http://www.actordb.com/docs-about.html', 'N/A', '/browse?country=SI', 'N/A', '/browse?type=commercial', '/browse?programming=erlang', '/browse?supported=erlang', '/browse?embeds=lmdb', '/browse?compatible=mysql', '/browse?os=linux', '/browse?license=mpl']"
11,https://dbdb.io/db/adabas,Adabas,"June 26, 2022, 11:33 p.m.","['N/A', 'https://www.softwareag.com/corporate/products/adabas_natural/adabas/default.html', 'N/A', '/browse?country=DE', 'N/A', '/browse?type=commercial', '/browse?license=proprietary', 'https://en.wikipedia.org/wiki/ADABAS']"
12,https://dbdb.io/db/adaptive-server-enterprise,Adaptive Server Enterprise,"Nov. 20, 2023, 10:28 a.m.","['N/A', 'N/A', '/browse?checkpoints=fuzzy', '/browse?compression=naive-page-level', '/browse?concurrency-control=multi-version-concurrency-control-mvcc', '/browse?data-model=relational', '/browse?foreign-keys=supported', '/browse?hardware-acceleration=rdma', '/browse?indexes=btree', '/browse?isolation-levels=read-uncommitted', '/browse?joins=nested-loop-join', '/browse?logging=logical-logging', '/browse?parallel-execution=intra-operator', '/browse?query-compilation=code-generation', '/browse?query-execution=tuple-at-a-time-model', '/browse?query-interface=sql', '/browse?storage-architecture=disk-oriented', '/browse?storage-model=n-ary-storage-model-rowrecord', '/browse?storage-organization=heaps', '/browse?stored-procedures=supported', '/browse?system-architecture=shared-memory', '/browse?views=materialized-views', 'https://www.sap.com/products/sybase-ase.html', 'http://infocenter.sybase.com/', 'N/A', '/browse?country=US', 'N/A', 'N/A', 'N/A', '/browse?type=commercial', '/browse?programming=c', '/browse?supported=c', '/browse?compatible=sql-server', '/browse?os=aix', '/browse?license=proprietary', 'https://en.wikipedia.org/wiki/Adaptive_Server_Enterprise']"
13,https://dbdb.io/db/advantage-database-server,Advantage Database Server,"June 30, 2022, 11:19 p.m.","['N/A', '/browse?data-model=relational', '/browse?query-interface=sql', '/browse?storage-architecture=disk-oriented', '/browse?storage-model=n-ary-storage-model-rowrecord', 'https://www.sap.com/products/advantage-database-server.html', 'http://devzone.advantagedatabase.com/', 'N/A', '/browse?country=US', 'N/A', 'N/A', 'N/A', '/browse?type=commercial', '/browse?license=proprietary', 'https://en.wikipedia.org/wiki/Advantage_Database_Server']"
14,https://dbdb.io/db/aerospike,Aerospike,"June 26, 2022, 11:24 p.m.","['N/A', 'N/A', '/browse?checkpoints=non-blocking', '/browse?concurrency-control=not-supported', '/browse?data-model=keyvalue', '/browse?foreign-keys=not-supported', '/browse?indexes=btree', '/browse?isolation-levels=serializable', '/browse?joins=not-supported', '/browse?logging=not-supported', '/browse?parallel-execution=inter-operator', '/browse?query-execution=tuple-at-a-time-model', '/browse?query-interface=custom-api', '/browse?storage-architecture=hybrid', '/browse?storage-model=n-ary-storage-model-rowrecord', '/browse?storage-organization=copy-on-write-shadow-paging', '/browse?stored-procedures=supported', '/browse?system-architecture=shared-nothing', '/browse?views=not-supported', 'http://www.aerospike.com/', 'https://github.com/aerospike/aerospike-server', 'https://www.aerospike.com/docs/', 'https://twitter.com/aerospikedb', 'N/A', '/browse?country=US', 'N/A', 'N/A', '/browse?type=commercial', '/browse?programming=c', '/browse?supported=c', '/browse?os=linux', '/browse?license=agpl-v3', 'https://en.wikipedia.org/wiki/Aerospike_database']"
15,https://dbdb.io/db/agatedb,AgateDB,"May 8, 2022, 3:09 p.m.","['/db/tikv', '/browse?data-model=keyvalue', '/browse?indexes=skip-list', '/browse?query-interface=custom-api', '/browse?system-architecture=embedded', 'https://github.com/tikv/agatedb', 'https://github.com/tikv/agatedb', 'https://twitter.com/PingCAP', 'N/A', '/browse?country=CN', 'N/A', '/browse?type=industrial-research', '/browse?programming=rust', '/browse?supported=rust', '/browse?license=apache-v2']"
16,https://dbdb.io/db/agedb,AGEDB,"June 15, 2023, 10:57 a.m.","['N/A', '/browse?data-model=graph', '/browse?query-interface=sql', 'https://agedb.io/', 'https://github.com/apache/age', 'https://age.apache.org/age-manual/master/', 'https://twitter.com/apache_age', 'N/A', '/browse?country=CA', 'N/A', '/browse?type=commercial', '/browse?programming=c', '/browse?derived=agensgraph', '/browse?embeds=postgresql', '/browse?license=apache-v2']"
17,https://dbdb.io/db/agensgraph,AgensGraph,"Aug. 8, 2023, 2:25 p.m.","['N/A', '/browse?checkpoints=consistent', '/browse?concurrency-control=multi-version-concurrency-control-mvcc', '/browse?data-model=relational', '/browse?indexes=btree', '/browse?isolation-levels=read-uncommitted', '/browse?joins=nested-loop-join', '/browse?query-execution=tuple-at-a-time-model', '/browse?query-interface=sql', '/browse?storage-architecture=disk-oriented', '/browse?storage-model=n-ary-storage-model-rowrecord', '/browse?stored-procedures=supported', '/browse?system-architecture=shared-everything', '/browse?views=materialized-views', 'http://bitnine.net/agensgraph/', 'https://github.com/bitnine-oss/agensgraph', 'http://bitnine.net/documentation/', 'https://twitter.com/AgensGraph', 'N/A', '/browse?country=US', 'N/A', '/browse?type=commercial', '/browse?programming=c', '/browse?derived=postgresql', '/browse?os=linux', '/browse?license=apache-v2']"
18,https://dbdb.io/db/aito,Aito,"June 26, 2022, 11:23 p.m.","['N/A', 'N/A', '/browse?foreign-keys=supported', '/browse?indexes=bitmap', '/browse?storage-architecture=disk-oriented', '/browse?storage-model=n-ary-storage-model-rowrecord', 'https://aito.ai', 'https://aito.ai/docs/', 'https://twitter.com/AitoDotAI', 'N/A', '/browse?country=FI', 'N/A', '/browse?type=commercial', '/browse?programming=scala', '/browse?inspired=elasticsearch', '/browse?os=hosted', '/browse?license=proprietary']"
19,https://dbdb.io/db/akdb,AKDB,"Sept. 28, 2023, 9:21 p.m.","['N/A', '/browse?data-model=relational', '/browse?query-interface=sql', '/browse?storage-architecture=disk-oriented', '/browse?storage-model=n-ary-storage-model-rowrecord', '/browse?system-architecture=shared-everything', 'https://ailab-foi.github.io/akdb/', 'https://github.com/minovakovi/akdb', 'N/A', '/browse?country=HR', 'N/A', 'N/A', '/browse?type=academic', '/browse?programming=c', '/browse?os=linux']"
